JADWAL PERKULIAHAN SEMESTER GENAP PRODI TEKNOLOGI INFORMASI UMY 2025/2026,,,,,,,,,,,,,
SESI,JAM,SENIN,,,,,,,,,,,
,,,Dosen : AK,,,,,Dosen : CD,,,,Dosen : RG,Dosen : HS
,14.10 - 15.00,,TI402 ( C ),,,,,TI404 ( E ),TW,,,TIUX04 ( A ),TI202 ( D )
,,,Pengembangan Aplikasi Basis Data,,,,,Keamanan Siber,,,,Desain Game,Algoritma dan Struktur Data
,,,Dosen : AK,,,,,Dosen : CD,,,,Dosen : RG,Dosen : HS
,15.00 - 15.30,Istirahat/Ashar/Pergantian Sesi Perkuliahan,,,,,,,,,,,
Sesi 6,15.30 - 16.20,,TI402 ( C ),NA,,,,TI404 ( E ),,,,TIUX04 ( A ),TI202 ( D )
,,,Pengembangan Aplikasi Basis Data,,,,,Keamanan Siber,,,,Desain Game,Algoritma dan Struktur Data
,,,Dosen : AK,,,,,Dosen : CD,,,,Dosen : RG,Dosen : HS
,16.20 - 17.10,,,NA,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,17.10 - 18.00,,,NA,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
17.45 - 18.30,,Istirahat/Maghrib/Pergantian Sesi Perkuliahan,,,,,,,,,,,
Sesi 7,18.30 - 19.20,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,19.20 - 20.10,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,20.10 - 21.00,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
SESI,JAM,SABTU,,,,,,,,,,,
,,RKBesar/F6.001,F6.002,F6.003,F6.004,F6.101,F6.102,F6.103,F6.202,F6.203,F4.001,F4.002,F4.003
Sesi 1,07.00 - 07.50,,,,,,TI605 ( B ),,,,TIPR03 ( A ),,
,,,,,,,Persiapan Toefl,,,,Pemrograman Web Framework,,
,,,,,,,Dosen : TIM,,,,Dosen : AS,,
,07.50 - 08.40,,,,,,TI605 ( B ),,,,TIPR03 ( A ),,
,,,,,,,Persiapan Toefl,,,,Pemrograman Web Framework,,
,,,,,,,Dosen : TIM,,,,Dosen : AS,,
,08.40 - 08.50,Pergantian Sesi,,,,,,,,,,,
Sesi 2,08.50 - 09.40,,,TI208 ( E ),TI408 ( B ),TI408 ( A ),TI605 ( D ),,TI408 ( D ),,TIPR03 ( A ),,
,,,,Bahasa Inggris Menengah,Bahasa Inggris untuk Profesional Bidang Teknologi Informasi,Bahasa Inggris untuk Profesional Bidang Teknologi Informasi,Persiapan Toefl,,Bahasa Inggris untuk Profesional Bidang Teknologi Informasi,,Pemrograman Web Framework,,
,,,,Dosen : TIM,Dosen : TIM,Dosen : TIM,Dosen : TIM,,Dosen : TIM,,Dosen : AS,,
,09.40 - 10.30,,TI605 ( C ),TI208 ( E ),TI408 ( B ),TI408 ( A ),TI605 ( D ),TI605 ( E ),TI408 ( D ),,TIPR03 ( B ),,
,,,Persiapan Toefl,Bahasa Inggris Menengah,Bahasa Inggris untuk Profesional Bidang Teknologi Informasi,Bahasa Inggris untuk Profesional Bidang Teknologi Informasi,Persiapan Toefl,Persiapan Toefl,Bahasa Inggris untuk Profesional Bidang Teknologi Informasi,,Pemrograman Web Framework,,
,,,Dosen : TIM,Dosen : TIM,Dosen : TIM,Dosen : TIM,Dosen : TIM,Dosen : TIM,Dosen : TIM,,Dosen : AS,,
,10.30 - 10.40,Pergantian Sesi,,,,,,,,,,,
